accuracy,dice_score,iou_score,loss,val_accuracy,val_dice_score,val_iou_score,val_loss,learning_rate,epoch_time,memory_usage,cpu_usage
0.8920488357543945,0.52064448595047,0.4204380214214325,0.17914608120918274,0.847534716129303,0.4745708405971527,0.3753432333469391,0.18158550560474396,0.0010000000474974513,360.5821270942688,-25.17578125,93.3
0.8908356428146362,0.4839017987251282,0.39542877674102783,0.18035969138145447,0.843444287776947,0.4792748987674713,0.38765284419059753,0.18178920447826385,0.0010000000474974513,352.78620982170105,8.875,92.9
0.8914107084274292,0.5308098196983337,0.4270690083503723,0.17880240082740784,0.8401212692260742,0.49933433532714844,0.3995218276977539,0.18057434260845184,0.0010000000474974513,374.91558051109314,-87.0703125,92.4
0.8987553715705872,0.5374809503555298,0.43606385588645935,0.17832157015800476,0.8958466053009033,0.5400545597076416,0.4347275495529175,0.17792008817195892,0.0010000000474974513,461.93754267692566,-4.39453125,86.6
0.9052193760871887,0.531998336315155,0.43474283814430237,0.17814885079860687,0.865321159362793,0.4667051136493683,0.3890175521373749,0.18057100474834442,0.0010000000474974513,537.5575790405273,75.07421875,88.1
0.9014326930046082,0.5251179337501526,0.427042692899704,0.17859292030334473,0.8873137831687927,0.49429893493652344,0.4101981222629547,0.17942656576633453,0.0010000000474974513,545.6384744644165,-3.4609375,87.6
0.9099723100662231,0.5510522723197937,0.44897887110710144,0.1771005243062973,0.7893207669258118,0.4459185302257538,0.35773608088493347,0.18444505333900452,0.0010000000474974513,506.2983229160309,60.9140625,86.2
0.9057303071022034,0.5410301685333252,0.44371217489242554,0.17746831476688385,0.7625545263290405,0.4734673798084259,0.3751507103443146,0.1840042620897293,0.0010000000474974513,483.61767530441284,-139.73828125,83.5
0.894729733467102,0.5181077122688293,0.42219799757003784,0.17900823056697845,0.7873561978340149,0.46566906571388245,0.3635534346103668,0.18280355632305145,0.0010000000474974513,511.86206459999084,-153.60546875,86.1
0.8863154649734497,0.5161417722702026,0.4118918478488922,0.17921577394008636,0.8416813015937805,0.3896377980709076,0.3165653347969055,0.18455295264720917,0.0005000000237487257,513.1787369251251,93.66015625,85.7
0.8999541997909546,0.5391572713851929,0.4380659759044647,0.1777520328760147,0.8570950031280518,0.4521207809448242,0.35977092385292053,0.18177396059036255,0.0005000000237487257,494.13164234161377,230.63671875,86.5
0.9035552144050598,0.5439532399177551,0.4410038888454437,0.17726100981235504,0.8701090216636658,0.49992743134498596,0.4044906198978424,0.1793452352285385,0.0005000000237487257,529.808126449585,-98.4453125,84.9
0.9048252701759338,0.5525205731391907,0.4495239555835724,0.1770453155040741,0.8508005142211914,0.5003225803375244,0.39791741967201233,0.1798090934753418,0.0005000000237487257,502.0917685031891,-24.7890625,84.4
0.9052264094352722,0.5439798831939697,0.441433310508728,0.17712633311748505,0.8671573996543884,0.4196970760822296,0.341936856508255,0.18271850049495697,0.0005000000237487257,711.1773812770844,108.5234375,93.2
